ID	カテゴリ	呼び名 （空欄＝おさんぽさん）	願いごと本文	筆跡テンプレート	願い星対象	表示履歴	備考
WS075	明日のこと	帰り道の月	明日の道が迷いすぎませんように	round	TRUE		
WS076	明日のこと		明日は言葉を選ぶ時間がありますように	quiet	TRUE		
WS077	明日のこと		明日の空がやわらかい色でありますように	careful	TRUE		
WS078	明日のこと	ふたつ星	明日は今日よりゆっくり歩けますように	quiet	TRUE		
WS079	明日のこと		明日は小さな予定がほどよく進みますように	quiet	TRUE		
WS080	明日のこと		明日の朝、靴が軽く感じますように	careful	TRUE		
WS081	明日のこと	空色ノート	明日は苦手な音が少し遠くありますように	round	TRUE		
WS082	明日のこと		明日は手紙の返事を書き始められますように	quiet	TRUE		
WS083	明日のこと		明日は今日の続きを静かに始められますように	careful	TRUE		
WS084	明日のこと	あたたかい手袋	明日の昼に温かいものを選べますように	round	TRUE		
WS085	明日のこと		明日は立ち止まる場所を見つけられますように	quiet	TRUE		
WS086	明日のこと		明日は深呼吸を忘れませんように	careful	TRUE		
WS087	明日のこと	静かな靴音	明日は雨でも足もとが濡れすぎませんように	round	TRUE		
WS088	明日のこと		明日の窓辺にやさしい風が来ますように	quiet	TRUE		
WS089	明日のこと		明日は机の上が少し味方しますように	careful	TRUE		
WS090	明日のこと	小麦の香り	明日は大事なことを一つだけ進められますように	round	TRUE		
WS091	明日のこと		明日は無理な背伸びをしませんように	quiet	TRUE		
WS092	明日のこと		明日は笑うタイミングを逃しませんように	careful	TRUE		
WS093	明日のこと	星見坂	明日の帰り道に月を見つけられますように	round	TRUE		
WS094	明日のこと		明日はひとつ早めに休めるといいな	quiet	TRUE		
WS095	明日のこと		明日は小さな勇気を忘れず持てますように	careful	TRUE		
WS096	明日のこと	ほしのしおり	明日は曇りでも心の灯りが消えませんように	round	TRUE		
WS097	明日のこと		明日は待つ時間が長すぎませんように	quiet	TRUE		
WS098	明日のこと		明日はやさしい予定から始まりますように	careful	TRUE		
WS099	明日のこと	夜更けのカップ	明日は声の大きさを間違えませんように	round	TRUE		
WS100	明日のこと		明日は今日より少し素直でいられますように	quiet	TRUE		
WS101	明日のこと		明日は靴音が軽く響きますように	careful	TRUE		
WS102	明日のこと	木かげの星	明日は手の中のメモをなくしませんように	round	TRUE		
WS103	明日のこと		明日は急な風に驚きすぎませんように	quiet	TRUE		
WS104	明日のこと		明日は好きな匂いに一度会えますように	careful	TRUE		
WS105	明日のこと	薄明さん	明日は眠気と仲よくできますように	round	TRUE		
WS106	明日のこと		明日は大きな荷物を少し軽く持てますように	quiet	TRUE		
WS107	明日のこと		明日は雨上がりの匂いがしますように	careful	TRUE		
WS108	明日のこと	こもれび便	明日は返事を急がずにいられますように	round	TRUE		
WS109	明日のこと		明日は時計を何度も見なくてすみますように	quiet	TRUE		
WS110	明日のこと		明日は小さな予定変更にも揺れすぎませんように	careful	TRUE		
WS111	明日のこと	まどろみ屋	明日は窓を開ける気分がありますように	round	TRUE		
WS112	明日のこと		明日は苦いお茶も少しおいしいといいな	quiet	TRUE		
WS113	明日のこと		明日は昨日のことを少し遠く置けますように	careful	TRUE		
WS114	明日のこと	小さな足あと	明日は新しいページを汚さず開けますように	round	TRUE		
WS115	明日のこと		明日は誰にも見えない努力が続きますように	quiet	TRUE		
WS116	明日のこと		明日は夕方まで電池がもちますように	careful	TRUE		
WS117	明日のこと	花びら灯り	明日は迷った時に星を思い出せますように	round	TRUE		
WS118	明日のこと		明日は少しだけ早く帰れますように	quiet	TRUE		
WS119	明日のこと		明日は静かな始まりでありますように	careful	TRUE		
WS120	明日のこと	夜露さん	明日は今日の自分を責めすぎませんように	round	TRUE		
WS121	誰かのこと		遠くの誰かの夜が少し静かでありますように	careful	TRUE		
WS122	誰かのこと		あの人の帰り道に小さな灯りがありますように	round	TRUE		
WS123	誰かのこと	星待ちポット	誰かの重たい鞄が少し軽くなりますように	faded	TRUE		
WS124	誰かのこと		眠れない誰かにやわらかな時間がありますように	careful	TRUE		
WS125	誰かのこと		待っている人の時計が急ぎすぎませんように	round	TRUE		
WS126	誰かのこと	ゆっくり雲	大事な人の朝に温かい飲みものがありますように	faded	TRUE		
WS127	誰かのこと		誰かの言えなかった言葉が星に預かりますように	careful	TRUE		
WS128	誰かのこと		あの人の窓辺にいい風が届きますように	round	TRUE		
WS129	誰かのこと	森の栞	遠い町の友だちが今日は冷えませんように	faded	TRUE		
WS130	誰かのこと		誰かの小さな不安が夜に溶けますように	careful	TRUE		
WS131	誰かのこと		ひとりで歩く人の道が暗すぎませんように	round	TRUE		
WS132	誰かのこと	月影の客	あの人の机に休む余白がありますように	faded	TRUE		
WS133	誰かのこと		誰かの涙が急がず乾きますように	careful	TRUE		
WS134	誰かのこと		忙しい人の手もとに静けさがありますように	round	TRUE		
WS135	誰かのこと	まるい窓	あの子の夢がこわくなりませんように	faded	TRUE		
WS136	誰かのこと		誰かの待つ時間にやさしい音が混じりますように	careful	TRUE		
WS137	誰かのこと		大切な人が無理を抱え込みませんように	round	TRUE		
WS138	誰かのこと	白湯のひと	遠くの家の明かりが今夜も灯っていますように	faded	TRUE		
WS139	誰かのこと		誰かの咳が早く落ち着きますように	careful	TRUE		
WS140	誰かのこと		あの人の心に小さな椅子がありますように	round	TRUE		
WS141	誰かのこと	星砂時計	誰かの迷い道に月明かりがありますように	faded	TRUE		
WS142	誰かのこと		大事な人の靴が雨に負けませんように	careful	TRUE		
WS143	誰かのこと		誰かの眠る部屋が少し暖かくありますように	round	TRUE		
WS144	誰かのこと	眠りの入口	言葉を飲み込んだ人に静かな場所がありますように	faded	TRUE		
WS145	誰かのこと		あの人の明日が急ぎ足になりすぎませんように	careful	TRUE		
WS146	誰かのこと		誰かのなくしものが見つかるといいな	round	TRUE		
WS147	誰かのこと	風の読書家	遠くの誰かがお茶をこぼしませんように	faded	TRUE		
WS148	誰かのこと		あの人の小さな勇気が消えませんように	careful	TRUE		
WS149	誰かのこと		誰かのため息が夜風にほどけますように	round	TRUE		
WS150	誰かのこと	淡い灯台	大切な人が星を見る時間を持てますように	faded	TRUE		
WS151	誰かのこと		誰かの傘がちゃんと乾きますように	careful	TRUE		
WS152	誰かのこと		あの人の言葉がやさしく届きますように	round	TRUE		
WS153	誰かのこと	夜空の余白	誰かの空腹が長く続きませんように	faded	TRUE		
WS154	誰かのこと		遠くの友だちが良い椅子に座れますように	careful	TRUE		
WS155	誰かのこと		誰かの痛む場所が今夜は静かですように	round	TRUE		
WS156	誰かのこと	鈴のない鈴	大事な人の眠りを小さな灯りが守りますように	faded	TRUE		
WS157	誰かのこと		あの人の朝に好きな匂いがありますように	careful	TRUE		
WS158	誰かのこと		誰かの怖い夢が短く終わりますように	round	TRUE		
WS159	誰かのこと	小枝のメモ	遠くの人の手紙が迷いませんように	faded	TRUE		
WS160	誰かのこと		誰かの一日が星の下で休めますように	careful	TRUE		
WS161	誰かのこと		あの人の心配が少し薄まりますように	round	TRUE		
WS162	誰かのこと	やわらか帽子	誰かの寒い指先が温まりますように	faded	TRUE		
WS163	誰かのこと		大事な人が深く息を吸えますように	careful	TRUE		
WS164	誰かのこと		誰かの帰る場所が静かに待っていますように	round	TRUE		
WS165	誰かのこと	月見の席	あの人の夜にも小さな星が見えますように	faded	TRUE		
WS166	自分のこと		自分の速さを忘れずに歩けますように	quiet	TRUE		
WS167	自分のこと		今夜は自分を少しだけ許せますように	careful	TRUE		
WS168	自分のこと	星を数える人	胸の奥のざわざわが小さくなりますように	faded	TRUE		
WS169	自分のこと		言えなかったことを静かに置けますように	quiet	TRUE		
WS170	自分のこと		自分のためのお茶を淹れられますように	careful	TRUE		
WS171	自分のこと	雨上がりさん	少し不器用なままでも眠れますように	faded	TRUE		
WS172	自分のこと		明かりを消す前に自分を責めませんように	quiet	TRUE		
WS173	自分のこと		本当は疲れていることに気づけますように	careful	TRUE		
WS174	自分のこと	夜のパンくず	もう一度だけ、やさしい選び方ができますように	faded	TRUE		
WS175	自分のこと		心の引き出しを乱暴に開けませんように	quiet	TRUE		
WS176	自分のこと		好きなものを好きと言える日がありますように	careful	TRUE		
WS177	自分のこと	草原のポケット	今日はここまで、と小さく区切れますように	faded	TRUE		
WS178	自分のこと		自分の声を置き去りにしませんように	quiet	TRUE		
WS179	自分のこと		苦手な朝にも小さな合図を見つけられますように	careful	TRUE		
WS180	自分のこと	古いベンチ	焦る心を夜風に預けられますように	faded	TRUE		
WS181	自分のこと		自分の失敗を長く抱えすぎませんように	quiet	TRUE		
WS182	自分のこと		ひとりの時間をこわがりすぎませんように	careful	TRUE		
WS183	自分のこと	星雲さん	大事な気持ちを雑に扱いませんように	faded	TRUE		
WS184	自分のこと		休むことに小さな許可を出せますように	quiet	TRUE		
WS185	自分のこと		好きな道を遠回りできますように	careful	TRUE		
WS186	自分のこと	うたたね係	自分の手の温度を思い出せますように	faded	TRUE		
WS187	自分のこと		頑張れない日を静かに通れますように	quiet	TRUE		
WS188	自分のこと		少しだけ目線を上げられますように	careful	TRUE		
WS189	自分のこと	森の小窓	不安な予定を一つずつほどけますように	faded	TRUE		
WS190	自分のこと		自分のための余白が残りますように	quiet	TRUE		
WS191	自分のこと		もう一度だけ、始める前に息を吸えますように	careful	TRUE		
WS192	自分のこと	湯気のむこう	今日の自分を夜空に預けられますように	faded	TRUE		
WS193	自分のこと		決めきれない気持ちを急かしませんように	quiet	TRUE		
WS194	自分のこと		小さな好きが消えずに残りますように	careful	TRUE		
WS195	自分のこと	静かなリボン	誰かの速さと比べすぎませんように	faded	TRUE		
WS196	自分のこと		静かな強さを忘れませんように	quiet	TRUE		
WS197	自分のこと		泣きたい気持ちを隠しすぎませんように	careful	TRUE		
WS198	自分のこと	ことり灯	自分の機嫌を少し迎えに行けますように	faded	TRUE		
WS199	自分のこと		眠る前に肩の力をほどけますように	quiet	TRUE		
WS200	自分のこと		胸の中の小石を一つ置けますように	careful	TRUE		
WS201	自分のこと	ミルク色の月	明日の自分に小さな余白を残せますように	faded	TRUE		
WS202	自分のこと		古い不安を今夜は少し遠くへ置けますように	quiet	TRUE		
WS203	自分のこと		自分の名前をやさしく思い出せますように	careful	TRUE		
WS204	自分のこと	夜道のしおり	こわい気持ちを星に預けられますように	faded	TRUE		
WS205	自分のこと		ここにいてもいいと思える夜がありますように	quiet	TRUE		
WS206	眠りと夢		今夜の夢がやわらかな色で始まりますように	quiet	TRUE		
WS207	眠りと夢	星の封筒	眠りの入口で迷子になりませんように	child	TRUE		
WS208	眠りと夢		まぶたの裏に静かな星が灯りますように	faded	TRUE		
WS209	眠りと夢		夢の中の階段が長すぎませんように	quiet	TRUE		
WS210	眠りと夢	小さな毛糸	夜更けの考えごとが雲になりますように	child	TRUE		
WS211	眠りと夢		眠る前の時計を何度も見ませんように	faded	TRUE		
WS212	眠りと夢		夢の手紙を朝まで忘れませんように	quiet	TRUE		
WS213	眠りと夢	ひなたの記憶	枕の向きが今日はすぐ決まりますように	child	TRUE		
WS214	眠りと夢		こわい夢の扉が開きませんように	faded	TRUE		
WS215	眠りと夢		寝返りのたびに毛布が逃げませんように	quiet	TRUE		
WS216	眠りと夢	月舟さん	夜の音がやさしい波になりますように	child	TRUE		
WS217	眠りと夢		眠れない時間が少しだけ丸くなりますように	faded	TRUE		
WS218	眠りと夢		夢の中でも靴をなくしませんように	quiet	TRUE		
WS219	眠りと夢	風鈴の影	明け方の光がそっと入りますように	child	TRUE		
WS220	眠りと夢		まくら元の星が静かに見守りますように	faded	TRUE		
WS221	眠りと夢		遠い夢の続きを覚えていますように	quiet	TRUE		
WS222	眠りと夢	青いマグ	眠りが小さな舟で来ますように	child	TRUE		
WS223	眠りと夢		夜の底で心が沈みすぎませんように	faded	TRUE		
WS224	眠りと夢		夢に出る森が暗すぎませんように	quiet	TRUE		
WS225	眠りと夢	星粒さん	眠る前の一分が長くやさしくありますように	child	TRUE		
WS226	眠りと夢		星を数える前に眠れたらいいな	faded	TRUE		
WS227	眠りと夢		夢の中の雨が冷たくありませんように	quiet	TRUE		
WS228	眠りと夢	夢見の切符	今夜はまぶたが仲直りしますように	child	TRUE		
WS229	眠りと夢		古い夢が静かに通り過ぎますように	faded	TRUE		
WS230	眠りと夢		眠りの糸がぷつんと切れませんように	quiet	TRUE		
WS231	眠りと夢	銀色の針	月明かりが夢の端を照らしますように	child	TRUE		
WS232	眠りと夢		寝ぼけた心が迷いませんように	faded	TRUE		
WS233	眠りと夢		夜の考えごとにふたをできますように	quiet	TRUE		
WS234	眠りと夢	森の待合室	夢の中の時計が急ぎませんように	child	TRUE		
WS235	眠りと夢		朝まで小さな安心がそばにありますように	faded	TRUE		
WS236	季節と自然		春の匂いを忘れずにいられますように	quiet	TRUE		
WS237	季節と自然	やさしい影	夏の夜風が少し涼しくありますように	careful	TRUE		
WS238	季節と自然		秋の葉がきれいに舞いますように	faded	TRUE		
WS239	季節と自然		冬の星が今夜も澄んでいますように	quiet	TRUE		
WS240	季節と自然	ほのかな足音	雨上がりの道がやさしく光りますように	careful	TRUE		
WS241	季節と自然		森の葉音が静かに続きますように	faded	TRUE		
WS242	季節と自然		月の輪郭が雲に隠れすぎませんように	quiet	TRUE		
WS243	季節と自然	夜半のクッキー	小さな虫の声が夜を急がせませんように	careful	TRUE		
WS244	季節と自然		朝露が草の上で迷いませんように	faded	TRUE		
WS245	季節と自然		風が強すぎず弱すぎずありますように	quiet	TRUE		
WS246	季節と自然	ねむたい星	遠い雷がここまで来ませんように	careful	TRUE		
WS247	季節と自然		星の見える隙間が雲に残りますように	faded	TRUE		
WS248	季節と自然		花びらが今日の場所を覚えていますように	quiet	TRUE		
WS249	季節と自然	雨粒ランプ	雪の日の足あとがやさしく残りますように	careful	TRUE		
WS250	季節と自然		木々の影がこわく見えませんように	faded	TRUE		
WS251	季節と自然		夕焼けの色を少し持ち帰れますように	quiet	TRUE		
WS252	季節と自然	空耳さん	夜の湖が静かに眠りますように	careful	TRUE		
WS253	季節と自然		小鳥の朝が明るすぎませんように	faded	TRUE		
WS254	季節と自然		草の匂いが胸に残りますように	quiet	TRUE		
WS255	季節と自然	月のポケット	季節の変わり目に置いていかれませんように	careful	TRUE		
WS256	季節と自然		森の道が明日も同じ場所にありますように	faded	TRUE		
WS257	季節と自然		雲の切れ間から星がのぞきますように	quiet	TRUE		
WS258	季節と自然	灯台見習い	冷たい風が頬を刺しすぎませんように	careful	TRUE		
WS259	季節と自然		やわらかな雨が屋根を叩きますように	faded	TRUE		
WS260	季節と自然		月と木の影が仲よく並びますように	quiet	TRUE		
WS261	TeaMerry	ふわり帽	TeaMerryの夜に小さな灯りが続きますように	quiet	TRUE		
WS262	TeaMerry		森のテラスに静かな星風が吹きますように	round	TRUE		
WS263	TeaMerry		リルのランタンが今夜も迷いませんように	careful	TRUE		
WS264	TeaMerry	星降る棚	お茶の香りが森の奥まで届きますように	quiet	TRUE		
WS265	TeaMerry		TeaMerryの椅子が誰かを待っていますように	round	TRUE		
WS266	TeaMerry		星風テラスの空がやさしく開きますように	careful	TRUE		
WS267	TeaMerry	茶葉のしずく	森の入口に小さな合図がありますように	quiet	TRUE		
WS268	TeaMerry		TeaMerryの夜が急がず進みますように	round	TRUE		
WS269	TeaMerry		妖精たちの足音が静かに響きますように	careful	TRUE		
WS270	TeaMerry	夜のえんぴつ	湯気の向こうに森の灯りが見えますように	quiet	TRUE		
WS271	TeaMerry		TeaMerryの星がひとつ増えますように	round	TRUE		
WS272	TeaMerry		テラスの木箱に良い風が残りますように	careful	TRUE		
WS273	TeaMerry	小さな方角	森のお茶会が今夜もそっと続きますように	quiet	TRUE		
WS274	TeaMerry		TeaMerryの道しるべが消えませんように	round	TRUE		
WS275	TeaMerry		星風の便りがやわらかく届きますように	careful	TRUE		
WS276	TeaMerry	雲間のひと	ランタンの光が森を驚かせませんように	quiet	TRUE		
WS277	TeaMerry		TeaMerryの夜空に余白がありますように	round	TRUE		
WS278	TeaMerry		小さな客席に月明かりが座りますように	careful	TRUE		
WS279	TeaMerry	眠り待ちさん	森のティーポットが眠りませんように	quiet	TRUE		
WS280	TeaMerry		TeaMerryの願い星が静かに浮かびますように	round	TRUE		
WS281	ふしぎ・くすっ		月がこっそりクッキーを食べませんように	faded	TRUE		
WS282	ふしぎ・くすっ	森の便せん	星の数を数えても途中で増えませんように	round	TRUE		
WS283	ふしぎ・くすっ		寝ぐせが森の地図になりませんように	child	TRUE		
WS284	ふしぎ・くすっ		ティーポットが夜中に散歩しませんように	faded	TRUE		
WS285	ふしぎ・くすっ	星影ポット	靴下の片方が星座になりませんように	round	TRUE		
WS286	ふしぎ・くすっ		どんぐりが会議を長引かせませんように	child	TRUE		
WS287	ふしぎ・くすっ		月のうさぎが遅刻しませんように	faded	TRUE		
WS288	ふしぎ・くすっ	しずかな砂糖	雲がパンみたいでお腹が鳴りませんように	round	TRUE		
WS289	ふしぎ・くすっ		星くずがポケットでこぼれませんように	child	TRUE		
WS290	ふしぎ・くすっ		ランタンがくしゃみをしませんように	faded	TRUE		
WS291	ふしぎ・くすっ	夜明け前さん	森の椅子が勝手に席替えしませんように	round	TRUE		
WS292	ふしぎ・くすっ		夜風が前髪だけ狙いませんように	child	TRUE		
WS293	ふしぎ・くすっ		ビスケットの最後の一枚が逃げませんように	faded	TRUE		
WS294	ふしぎ・くすっ	月色のノート	夢の中で宿題が増えませんように	round	TRUE		
WS295	ふしぎ・くすっ		カップの底に小さな月が沈みませんように	child	TRUE		
WS296	ふしぎ・くすっ		星に名前をつけすぎて眠れなくなりませんように	faded	TRUE		
WS297	ふしぎ・くすっ	星を見る椅子	雲の羊が柵を越えすぎませんように	round	TRUE		
WS298	ふしぎ・くすっ		お茶の湯気が変な顔になりませんように	child	TRUE		
WS299	ふしぎ・くすっ		月明かりがくすぐってきませんように	faded	TRUE		
WS300	ふしぎ・くすっ	そっと来た人	明日の朝、枕が旅に出ていませんように	round	TRUE		
