"カテゴリ","セットID","順番","セリフ","有効","備考"
"願い星を飛ばしたあと","wish_after_08","2","ちゃんと願いを覚えているのかな。","TRUE",
"願い星を飛ばしたあと","wish_after_08","3","忘れないように、月が見ていてくれるかもしれないね。","TRUE",
"願い星を飛ばしたあと","wish_after_09","1","夜空に小さな光が残ったね。","TRUE",
"願い星を飛ばしたあと","wish_after_09","2","誰かの願いと、途中ですれ違うかもしれないよ。","TRUE",
"願い星を飛ばしたあと","wish_after_09","3","願い星同士で、お話をするのかな。","TRUE",
"願い星を飛ばしたあと","wish_after_10","1","今日はきれいな飛び方だったね。","TRUE",
"願い星を飛ばしたあと","wish_after_10","2","願いごとを大事に抱えて飛んでいったよ。","TRUE",
"願い星を飛ばしたあと","wish_after_10","3","今夜の空が、そっと覚えていてくれるといいね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_01","1","いつごろ書いた手紙なんだろうね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_01","2","書いた人は、もう忘れているかもしれないね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_01","3","でも言葉だけは、ここまで旅をしてきたんだね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_02","1","どこから流れてきたんだろう。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_02","2","森へ来るまで、いくつの景色を見たのかな。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_02","3","瓶に聞けたら、きっと長い話になるね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_03","1","ずいぶん長い旅をしてきたのかもしれないね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_03","2","雨の日も、風の日もあったのかな。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_03","3","ここで少し休んでいくつもりなのかも。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_04","1","書いた人は、届いたことを知らないんだろうね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_04","2","誰かに読まれると思っていたのかな。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_04","3","偶然って、少し不思議だね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_05","1","この紙、どこかの夜に書かれたのかな。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_05","2","小さな灯りのそばで書いたのかもしれないね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_05","3","書き終わったあと、どんな気持ちだったんだろう。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_06","1","言葉だけが先に旅をしてきたんだね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_06","2","書いた人より、遠くまで来たのかもしれないよ。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_06","3","この先も、どこかへ流れていくのかな。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_07","1","瓶の中では、時間がゆっくり進むのかな。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_07","2","外では何日も過ぎていたかもしれないね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_07","3","でも手紙は、書かれたときのままなんだね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_08","1","知らない人の手紙なのに、少し近く感じるね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_08","2","名前も顔も分からないのにね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_08","3","言葉って、不思議なものだね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_09","1","この瓶、少し疲れているように見えるね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_09","2","長い間、波に揺られていたのかな。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_09","3","森へ着いて、ほっとしているのかもしれないね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_10","1","今日ここへ流れ着いたのも、不思議な巡り合わせだね。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_10","2","少し早くても遅くても、会えなかったかもしれないよ。","TRUE",
"漂着ボトルメールを見たあと","drift_read_after_10","3","この手紙は、今日読まれることになっていたのかな。","TRUE",
